filename,filepath,composer
lc4904021.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4904021.mxl,Johannes Brahms
lc4919673.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4919673.mxl,Clara Schumann
lc4919879.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4919879.mxl,Franz Schubert
lc4926375.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4926375.mxl,Johannes Brahms
lc4946175.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4946175.mxl,Johannes Brahms
lc4946239.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4946239.mxl,Johannes Brahms
lc4976769.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4976769.mxl,Robert Schumann
lc4976849.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4976849.mxl,Robert Schumann
lc4978368.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978368.mxl,Robert Schumann
lc4978373.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978373.mxl,Robert Schumann
lc4978379.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978379.mxl,Robert Schumann
lc4978382.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978382.mxl,Robert Schumann
lc4978387.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978387.mxl,Robert Schumann
lc4978390.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978390.mxl,Robert Schumann
lc4978393.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978393.mxl,Robert Schumann
lc4978395.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978395.mxl,Robert Schumann
lc4978396.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978396.mxl,Robert Schumann
lc4978397.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978397.mxl,Robert Schumann
lc4978398.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978398.mxl,Robert Schumann
lc4978400.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978400.mxl,Robert Schumann
lc4978468.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978468.mxl,Robert Schumann
lc4978478.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978478.mxl,Robert Schumann
lc4978485.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978485.mxl,Robert Schumann
lc4978488.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978488.mxl,Robert Schumann
lc4978491.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978491.mxl,Robert Schumann
lc4978492.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978492.mxl,Johannes Brahms
lc4978494.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978494.mxl,Robert Schumann
lc4978496.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978496.mxl,Robert Schumann
lc4978501.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978501.mxl,Robert Schumann
lc4978506.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4978506.mxl,Franz Schubert
lc4981984.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4981984.mxl,Franz Schubert
lc4982465.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4982465.mxl,Franz Schubert
lc4982491.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4982491.mxl,Franz Schubert
lc4982505.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4982505.mxl,Franz Schubert
lc4982535.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4982535.mxl,Franz Schubert
lc4985922.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985922.mxl,Franz Schubert
lc4985924.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985924.mxl,Franz Schubert
lc4985925.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985925.mxl,Franz Schubert
lc4985927.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985927.mxl,Franz Schubert
lc4985930.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985930.mxl,Franz Schubert
lc4985931.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985931.mxl,Franz Schubert
lc4985932.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985932.mxl,Franz Schubert
lc4985934.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985934.mxl,Franz Schubert
lc4985935.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985935.mxl,Franz Schubert
lc4985937.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985937.mxl,Franz Schubert
lc4985938.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985938.mxl,Franz Schubert
lc4985940.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985940.mxl,Franz Schubert
lc4985946.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985946.mxl,Franz Schubert
lc4985949.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985949.mxl,Franz Schubert
lc4985951.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985951.mxl,Franz Schubert
lc4985962.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985962.mxl,Franz Schubert
lc4985964.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985964.mxl,Franz Schubert
lc4985965.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985965.mxl,Franz Schubert
lc4985973.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985973.mxl,Franz Schubert
lc4985984.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985984.mxl,Franz Schubert
lc4985985.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985985.mxl,Franz Schubert
lc4985987.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985987.mxl,Franz Schubert
lc4985990.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985990.mxl,Franz Schubert
lc4985999.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4985999.mxl,Franz Schubert
lc4986000.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4986000.mxl,Franz Schubert
lc4987618.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987618.mxl,Robert Schumann
lc4987626.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987626.mxl,Robert Schumann
lc4987633.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987633.mxl,Robert Schumann
lc4987640.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987640.mxl,Robert Schumann
lc4987650.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987650.mxl,Robert Schumann
lc4987658.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987658.mxl,Robert Schumann
lc4987661.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987661.mxl,Robert Schumann
lc4987664.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987664.mxl,Robert Schumann
lc4987672.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987672.mxl,Robert Schumann
lc4987677.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4987677.mxl,Robert Schumann
lc4988600.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc4988600.mxl,Franz Schubert
lc5000388.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5000388.mxl,Clara Schumann
lc5000397.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5000397.mxl,Clara Schumann
lc5003122.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5003122.mxl,Robert Schumann
lc5003150.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5003150.mxl,Robert Schumann
lc5004701.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5004701.mxl,Johannes Brahms
lc5004731.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5004731.mxl,Franz Schubert
lc5004835.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5004835.mxl,Franz Schubert
lc5007176.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007176.mxl,Franz Schubert
lc5007178.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007178.mxl,Franz Schubert
lc5007179.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007179.mxl,Franz Schubert
lc5007180.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007180.mxl,Franz Schubert
lc5007181.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007181.mxl,Franz Schubert
lc5007182.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5007182.mxl,Franz Schubert
lc5009833.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5009833.mxl,Franz Schubert
lc5009900.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5009900.mxl,Franz Schubert
lc5013945.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5013945.mxl,Franz Schubert
lc5013969.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5013969.mxl,Franz Schubert
lc5014002.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5014002.mxl,Franz Schubert
lc5014023.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5014023.mxl,Franz Schubert
lc5015410.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5015410.mxl,Franz Schubert
lc5015435.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5015435.mxl,Franz Schubert
lc5015499.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5015499.mxl,Franz Schubert
lc5015521.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5015521.mxl,Franz Schubert
lc5015573.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5015573.mxl,Franz Schubert
lc5016512.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5016512.mxl,Franz Schubert
lc5023438.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5023438.mxl,Franz Schubert
lc5023517.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5023517.mxl,Franz Schubert
lc5023603.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5023603.mxl,Franz Schubert
lc5023662.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5023662.mxl,Franz Schubert
lc5025982.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5025982.mxl,Franz Schubert
lc5025985.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5025985.mxl,Franz Schubert
lc5026236.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5026236.mxl,Franz Schubert
lc5033057.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5033057.mxl,Johannes Brahms
lc5033075.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5033075.mxl,Johannes Brahms
lc5033089.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5033089.mxl,Johannes Brahms
lc5057822.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5057822.mxl,Johannes Brahms
lc5057985.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5057985.mxl,Johannes Brahms
lc5058091.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5058091.mxl,Johannes Brahms
lc5058194.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5058194.mxl,Johannes Brahms
lc5058636.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5058636.mxl,Johannes Brahms
lc5058657.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5058657.mxl,Johannes Brahms
lc5067672.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5067672.mxl,Johannes Brahms
lc5067677.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5067677.mxl,Johannes Brahms
lc5067692.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5067692.mxl,Johannes Brahms
lc5069022.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069022.mxl,Johannes Brahms
lc5069028.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069028.mxl,Johannes Brahms
lc5069033.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069033.mxl,Johannes Brahms
lc5069048.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069048.mxl,Johannes Brahms
lc5069058.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069058.mxl,Johannes Brahms
lc5069066.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5069066.mxl,Johannes Brahms
lc5071622.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071622.mxl,Johannes Brahms
lc5071629.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071629.mxl,Johannes Brahms
lc5071636.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071636.mxl,Johannes Brahms
lc5071644.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071644.mxl,Johannes Brahms
lc5071654.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071654.mxl,Johannes Brahms
lc5071668.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071668.mxl,Johannes Brahms
lc5071678.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071678.mxl,Johannes Brahms
lc5071686.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071686.mxl,Johannes Brahms
lc5071689.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071689.mxl,Johannes Brahms
lc5071694.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071694.mxl,Johannes Brahms
lc5071703.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5071703.mxl,Johannes Brahms
lc5077744.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5077744.mxl,Franz Schubert
lc5080752.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5080752.mxl,Robert Schumann
lc5084888.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5084888.mxl,Johannes Brahms
lc5084966.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5084966.mxl,Johannes Brahms
lc5087729.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5087729.mxl,Johannes Brahms
lc5093434.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5093434.mxl,Franz Schubert
lc5093748.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5093748.mxl,Franz Schubert
lc5093803.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5093803.mxl,Franz Schubert
lc5098612.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5098612.mxl,Franz Schubert
lc5098625.mxl,C:\Users\polyx\Documents\UPF\b. 03 Analysis of Symbolic Music and Computational Musicology\Symbolic Group Project\dataset\lc5098625.mxl,Johannes Brahms
